Manufacturer	Model	Type	Engine.Displacement	Cylinders	MPG.city	MPG.highway	MPG.combined	Guzzler	Aspiration	Transmission	Gears	Drive	Fuel.cost
Mini	Mini.Cooper.Coupe	Two.Seaters	1.6	4	28	36	31	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	1914
Mini	Mini.Cooper.Roadster	Two.Seaters	1.6	4	27	35	30	N	Naturally.Aspirated	Semi-Automatic	6	2-Wheel.Drive.Front	1973
Mini	Mini.Cooper.S	Minicompact.Cars	1.6	4	26	34	29	N	Turbocharged	Semi-Automatic	6	2-Wheel.Drive.Front	2044
Mini	Mini.Cooper.S	Minicompact.Cars	1.6	4	27	35	30	N	Turbocharged	Manual	6	2-Wheel.Drive.Front	1973
Mitsubishi	ECLIPSE	Subcompact.Cars	2.4	4	20	28	23	N	Naturally.Aspirated	Semi-Automatic	4	2-Wheel.Drive.Front	2414
Mitsubishi	GALANT	Midsize.Cars	2.4	4	21	30	24	N	Naturally.Aspirated	Semi-Automatic	4	2-Wheel.Drive.Front	2314
Mitsubishi	OUTLANDER.2WD	Special.Purpose.Vehicle.SUV.2WD	2.0	4	23	28	25	N	Naturally.Aspirated	Continuously.Variable	6	2-Wheel.Drive.Front	2220
Mitsubishi	OUTLANDER.4WD	Special.Purpose.Vehicle.SUV.4WD	2.4	4	22	27	24	N	Naturally.Aspirated	Continuously.Variable	6	4-Wheel.Drive	2314
Nissan	ALTIMA	Midsize.Cars	2.5	4	23	32	27	N	Naturally.Aspirated	Continuously.Variable	6	2-Wheel.Drive.Front	2054
Nissan	ARMADA.2WD	Special.Purpose.Vehicle.SUV.2WD	5.6	8	13	19	15	N	Naturally.Aspirated	Automatic	5	2-Wheel.Drive.Rear	3702
Nissan	FRONTIER.2WD	Small.Pick-up.Trucks.2WD	2.5	4	17	22	19	N	Naturally.Aspirated	Automatic	5	2-Wheel.Drive.Rear	2919
Nissan	FRONTIER.4WD	Small.Pick-up.Trucks.4WD	4.0	6	14	19	16	N	Naturally.Aspirated	Automatic	5	4-Wheel.Drive	3469
Nissan	GT-R	Subcompact.Cars	3.8	6	16	23	19	N	Turbocharged	Automated.Manual	6	All.Wheel.Drive	3117
Nissan	MAXIMA	Midsize.Cars	3.5	6	19	26	22	N	Naturally.Aspirated	Continuously.Variable	6	2-Wheel.Drive.Front	2696
Nissan	PATHFINDER.2WD	Special.Purpose.Vehicle.SUV.2WD	4.0	6	15	22	17	N	Naturally.Aspirated	Automatic	5	2-Wheel.Drive.Rear	3484
Nissan	PATHFINDER.4WD	Special.Purpose.Vehicle.SUV.4WD	4.0	6	14	20	16	N	Naturally.Aspirated	Automatic	5	4-Wheel.Drive	3703
Nissan	SENTRA	Midsize.Cars	2.0	4	27	34	30	N	Naturally.Aspirated	Continuously.Variable	1	2-Wheel.Drive.Front	1848
Nissan	TITAN.2WD	Standard.Pick-up.Trucks.2WD	5.6	8	13	18	15	N	Naturally.Aspirated	Automatic	5	2-Wheel.Drive.Rear	3702
Nissan	TITAN.4WD	Standard.Pick-up.Trucks.4WD	5.6	8	12	17	14	N	Naturally.Aspirated	Automatic	5	4-Wheel.Drive	3963
Nissan	VERSA	Compact.Cars	1.6	4	30	38	33	N	Naturally.Aspirated	Continuously.Variable	1	2-Wheel.Drive.Front	1682
Nissan	XTERRA.2WD	Special.Purpose.Vehicle.SUV.2WD	4.0	6	16	22	18	N	Naturally.Aspirated	Automatic	5	2-Wheel.Drive.Rear	3086
Nissan	XTERRA.4WD	Special.Purpose.Vehicle.SUV.4WD	4.0	6	15	20	17	N	Naturally.Aspirated	Automatic	5	4-Wheel.Drive	3263
Porsche	911.Carrera	Minicompact.Cars	3.6	6	19	27	22	N	Naturally.Aspirated	Automatic	7	2-Wheel.Drive.Rear	2696
Porsche	911.GTS	Minicompact.Cars	3.8	6	19	26	22	N	Naturally.Aspirated	Automatic	7	2-Wheel.Drive.Rear	2696
Porsche	911.Speedster	Two.Seaters	3.8	6	19	27	21	N	Naturally.Aspirated	Automatic	7	2-Wheel.Drive.Rear	2820
Porsche	911.Turbo.Cabriolet	Minicompact.Cars	3.8	6	16	24	19	N	Turbocharged	Automatic	7	2-Wheel.Drive.Rear	3117
Porsche	911.Turbo.Coupe	Minicompact.Cars	3.8	6	17	25	19	N	Turbocharged	Automatic	7	2-Wheel.Drive.Rear	3117
Porsche	Boxster	Two.Seaters	2.9	6	20	29	24	N	Naturally.Aspirated	Automatic	7	2-Wheel.Drive.Rear	2471
